Season,League,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,percent_corner_3s_of_3pa,corner_3_point_percent
2025,NBA,0.467,14.5,0.579,0.226,0.214,0.091,0.048,0.421,0.545,0.696,0.461,0.443,0.4,0.36,0.542,0.834,0.061,0.243,0.388
2024,NBA,0.474,14,0.605,0.241,0.211,0.096,0.058,0.395,0.545,0.699,0.452,0.446,0.407,0.366,0.54,0.844,0.06,0.244,0.393
2023,NBA,0.475,13.9,0.613,0.245,0.206,0.096,0.063,0.387,0.548,0.701,0.454,0.447,0.414,0.361,0.506,0.825,0.06,0.237,0.387
2022,NBA,0.461,14.2,0.601,0.239,0.193,0.094,0.07,0.399,0.533,0.687,0.439,0.431,0.399,0.354,0.509,0.816,0.057,0.235,0.383
2021,NBA,0.466,14.1,0.608,0.254,0.186,0.096,0.072,0.392,0.53,0.675,0.428,0.435,0.409,0.367,0.502,0.826,0.054,0.222,0.395
2020,NBA,0.46,13.9,0.616,0.282,0.165,0.093,0.077,0.384,0.524,0.667,0.396,0.416,0.404,0.358,0.504,0.815,0.059,0.211,0.39
2019,NBA,0.461,13.5,0.641,0.292,0.162,0.096,0.092,0.359,0.52,0.658,0.4,0.413,0.401,0.355,0.513,0.823,0.058,0.214,0.383
2018,NBA,0.46,13.2,0.663,0.281,0.156,0.106,0.12,0.337,0.51,0.658,0.394,0.415,0.4,0.362,0.499,0.83,0.053,0.208,0.394
2017,NBA,0.457,13.3,0.684,0.29,0.152,0.099,0.142,0.316,0.503,0.631,0.414,0.412,0.402,0.358,0.495,0.835,0.051,0.228,0.388
2016,NBA,0.452,12.5,0.715,0.293,0.158,0.103,0.162,0.285,0.491,0.624,0.396,0.405,0.398,0.354,0.51,0.836,0.048,0.248,0.377
2015,NBA,0.449,12.4,0.732,0.29,0.164,0.103,0.175,0.268,0.485,0.627,0.384,0.403,0.394,0.35,0.52,0.843,0.047,0.254,0.387
2014,NBA,0.454,12.8,0.741,0.286,0.169,0.105,0.18,0.259,0.488,0.636,0.39,0.401,0.395,0.36,0.518,0.837,0.048,0.248,0.39
2013,NBA,0.453,12.6,0.757,0.293,0.164,0.107,0.193,0.243,0.483,0.631,0.381,0.395,0.393,0.359,0.535,0.851,0.052,0.268,0.39
2012,NBA,0.448,12.5,0.774,0.287,0.169,0.11,0.208,0.226,0.477,0.634,0.378,0.388,0.388,0.349,0.518,0.843,0.05,0.261,0.376
2011,NBA,0.459,12.6,0.778,0.276,0.178,0.11,0.214,0.222,0.487,0.65,0.392,0.398,0.403,0.358,0.518,0.86,0.049,0.27,0.394
2010,NBA,0.461,12.2,0.778,0.32,0.129,0.11,0.218,0.222,0.492,0.613,0.421,0.4,0.402,0.355,0.505,0.847,0.048,0.258,0.392
2009,NBA,0.459,12.4,0.776,0.314,0.124,0.111,0.227,0.224,0.485,0.602,0.412,0.395,0.407,0.367,0.501,0.859,0.051,0.274,0.395
2008,NBA,0.457,12.5,0.778,0.308,0.124,0.111,0.235,0.222,0.484,0.607,0.408,0.391,0.409,0.362,0.523,0.867,0.051,0.264,0.395
2007,NBA,0.458,12.2,0.787,0.314,0.131,0.113,0.229,0.213,0.485,0.61,0.411,0.392,0.404,0.358,0.527,0.863,0.046,0.271,0.384
2006,NBA,0.454,12.2,0.798,0.309,0.133,0.119,0.236,0.202,0.478,0.601,0.4,0.391,0.405,0.358,0.523,0.851,0.049,0.27,0.39
2005,NBA,0.447,12.1,0.804,0.304,0.135,0.129,0.236,0.196,0.47,0.596,0.391,0.383,0.4,0.356,0.544,0.854,0.051,0.272,0.384
2004,NBA,0.439,12,0.813,0.297,0.147,0.141,0.229,0.187,0.46,0.592,0.382,0.377,0.388,0.347,0.565,0.857,0.047,0.261,0.378
2003,NBA,0.442,12.1,0.818,0.286,0.15,0.146,0.236,0.182,0.463,0.603,0.384,0.388,0.389,0.349,0.56,0.852,0.047,0.257,0.369
2002,NBA,0.445,12,0.819,0.287,0.148,0.153,0.23,0.181,0.465,0.605,0.382,0.388,0.397,0.354,0.564,0.856,0.048,0.235,0.384
2001,NBA,0.443,12,0.83,0.273,0.168,0.158,0.232,0.17,0.461,0.619,0.359,0.385,0.4,0.354,0.572,0.852,0.036,0.239,0.381
2000,NBA,0.449,12.8,0.833,0.256,0.188,0.161,0.228,0.167,0.468,0.633,0.379,0.365,0.428,0.353,0.569,0.851,0.047,0.228,0.386
1999,NBA,0.437,12.8,0.832,0.266,0.188,0.155,0.223,0.168,0.457,0.62,0.365,0.351,0.413,0.339,0.571,0.846,0.045,0.201,0.376
1998,NBA,0.45,12.5,0.841,0.286,0.178,0.163,0.213,0.159,0.47,0.628,0.376,0.354,0.426,0.346,0.582,0.841,0.053,0.176,0.371
1997,NBA,0.455,12.8,0.788,0.341,0.142,0.149,0.156,0.212,0.48,0.552,0.437,0.383,0.455,0.36,0.572,0.805,0.048,0.126,0.402
